"Biomi %Alta","Biomi %Bassa","Fazioni","Grado Sfida","Link 5et","Nome","Tag","Tipo","Descrizione"
"Space","","Mind Flayer","9.0","https://5e.tools/bestiary.html#ulitharid_vgm","Ulitharid","Mind Flayer","Aberrazione","<p>Molto raramente, quando un girino dalla pozza di salamoia di un&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello anziano</a>&nbsp;viene impiantato in una creatura, quella creatura si trasforma in un Ulitharid: un&nbsp;<a href=""https://5e.tools/bestiary.html#mind%20flayer_mm"">Mind Flayer</a>&nbsp;più grande e potente con sei tentacoli.&nbsp;Gli Illithid riconoscono in modo innato che la sopravvivenza di un Ulitharid è più importante della propria.&nbsp;La reazione di un&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello anziano</a>&nbsp;all'ascesa di un Ulitharid varia.&nbsp;Nella maggior parte delle colonie, l'Ulitharid diventa il servitore preferito di un cervello anziano, dotato di potere e autorità.&nbsp;In altri, il&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello anziano</a>&nbsp;percepisce un Ulitharid come un potenziale rivale e manipola o annulla le ambizioni dell'Ulitharid di conseguenza.</p><p>Quando un Ulitharid trova insopportabile condividere la leadership con un&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello anziano</a>&nbsp;, si stacca dalla colonia, portando con sé un gruppo di&nbsp;<a href=""https://5e.tools/bestiary.html#mind%20flayer_mm"">Mind Flayer</a>&nbsp;, e si trasferisce in un altro luogo per formare una nuova colonia.&nbsp;Dopo la morte del corpo dell'ulitharid, un processo speciale trasforma il suo cervello in un nuovo&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello anziano</a>&nbsp;per la colonia.</p><p>Questo processo non funziona sul cervello di un Ulitharid che muore di morte naturale, poiché tali cervelli sono troppo decrepiti per essere utilizzati.&nbsp;Invece, ogni Ulitharid porta un bastone psionicamente potenziato;&nbsp;quando l'Ulitharid è pronto a rinunciare alla sua vita, attacca il bastone alla parte posteriore della testa e il bastone gli apre il cranio, consentendo l'estrazione del cervello.&nbsp;Il cervello e il bastone vengono quindi piantati nel cadavere dell'Ulitharid, facendolo dissolvere in icore.&nbsp;Questa melma psionicamente potente aiuta ad alimentare la trasformazione dell'area in una pozza di salamoia per il&nbsp;<a href=""https://5e.tools/bestiary.html#elder%20brain_mpmm"">cervello embrionale dell'anziano</a>&nbsp;.</p><p>&nbs<br></p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Space","","Mind Flayer","13.0","https://5e.tools/bestiary.html#neothelid_vgm","Neothelid","Mind Flayer","Aberrazione","<p>Un verme ricoperto di melma di dimensioni immense, un neotelide è il risultato del ciclo riproduttivo del Mind Flayer andato terribilmente storto.&nbsp;In rare occasioni, una colonia Illithid crolla, in genere dopo un assalto esterno, e il cervello di sambuco viene ucciso.&nbsp;Quando ciò accade, i girini della colonia vengono improvvisamente liberati dal loro destino.&nbsp;Non servono più da cibo ea loro volta non vengono più nutriti dai loro custodi.&nbsp;Spinti dalla fame, si divorano a vicenda.&nbsp;Solo un girino sopravvive tra le migliaia nella piscina della colonia ed emerge come un neotelide.</p><p><strong><em>Aberrante per Illithid.&nbsp;</em></strong>Tra i tabù più forti nella società Illithid c'è l'idea di permettere a un girino maturo di sopravvivere senza impiantarlo nel cervello di un donatore.&nbsp;In circostanze normali, qualsiasi girino che cresce più grande di pochi centimetri di lunghezza viene ucciso dal cervello di sambuco per essere cibo per esso o per girini meno maturi.&nbsp;Qualsiasi girino che sopravviva oltre quello stato è percepito come una minaccia per la colonia e i Mind Flayer organizzano battute di caccia per sterminare l'abominio.&nbsp;Mancando un'intelligenza sufficiente per essere rilevata dal potere di un cervello anziano di percepire i pensieri, i neotelidi giustificano tali precauzioni.</p><p>&nbsp;<strong><em>Behemoth selvaggio.&nbsp;</em></strong>In quanto cosa selvaggia, un neotelide non sa nulla al di là dell'esistenza predatoria che ha vissuto finora e lotta per comprendere le sue nuove capacità psioniche.&nbsp;I neotelidi si aggirano per i passaggi sotterranei alla ricerca di più cervelli per saziare la loro fame costante, diventando sempre più feroci.&nbsp;Queste creature possono spruzzare enzimi che dissolvono i tessuti dai loro dotti tentacolari, riducendo le vittime a una pozza di melma e lasciando illeso solo il cervello pulsante.&nbsp;Non sono a conoscenza del loro legame con gli Illithid, quindi è probabile che predano i Mind Flayer come qualsiasi altra cosa.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Space","","Mind Flayer","14.0","https://5e.tools/bestiary.html#elder%20brain_vgm","Elder Brain","Mind Flayer","Aberrazione","<p>L'ultima espressione del dominio dei Mind Flayer, un cervello anziano si estende all'interno di una vasca di salamoia viscosa, accudito dai servitori dei Mind Flayer mentre tocca i pensieri di creature vicine e lontane.&nbsp;Scarabocchi sulla tela delle menti delle creature, riscrivendo i loro pensieri e creando i loro sogni. Quando un Mind Flayer muore, i servitori del cervello anziano alimentano il suo cervello al loro padrone, che poi assorbe la conoscenza e l'esperienza in esso contenute.&nbsp;I Mind Flayer concepiscono questa unità con il cervello anziano come uno stato sacro simile a una vita nell'aldilà.</p><p><strong><em>Mente Alveare.&nbsp;</em></strong>I cervelli anziani sono cosiddetti tra i non Illithid perché fungono da hub di comunicazione centrale per un'intera colonia di Mind Flayer, proprio come fa un cervello per un corpo vivente.&nbsp;Collegata al cervello del sambuco, la colonia agisce come un unico organismo, agendo di concerto come se ogni Illithid fosse il dito di una mano.&nbsp;Un cervello anziano considera se stesso ei suoi desideri le cose più importanti nel multiverso, e la mente scortica nella sua colonia nient'altro che estensioni della sua volontà.</p><p><strong><em>La tana di un cervello anziano.&nbsp;</em></strong>La tana di un cervello anziano si trova nel cuore di una colonia di Mind Flayer.&nbsp;Il cervello dimora in una pozza di salamoia debolmente luminosa piena di acqua salmastra infusa con i suoi fluidi vitali e l'energia psionica.&nbsp;Le ambizioni di un cervello anziano sono sempre mitigate dalla sua relativa immobilità.&nbsp;Sebbene i suoi sensi telepatici possano raggiungere chilometri, spostarsi ovunque è sempre una proposta pericolosa.&nbsp;Se costretto fuori dalla sua pozza di salamoia, un cervello anziano espira rapidamente e trasportare un cervello anziano nella sua piscina attraverso tunnel sotterranei confinati e tortuosi spesso si rivela difficile o impossibile.</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Space","Collina","Neogi","0.125","https://5e.tools/bestiary.html#neogi%20hatchling_vgm","Neogi Hatchling","Neogi","Aberrazione",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Feywild","","","","","","",""
"","Shadowfell","","","","","","",""
"","Astrale","","","","","","",""
"","Etereo","","","","","","",""
"","","","","","","Sociale","",""
"Space","Collina","Neogi","3.0","https://5e.tools/bestiary.html#neogi_vgm","Neogi","Neogi","Aberrazione",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Feywild","","","","","","",""
"","Shadowfell","","","","","","",""
"","Astrale","","","","","","",""
"","Etereo","","","","","","",""
"","","","","","","Sociale","",""
"Space","Collina","Neogi","4.0","https://5e.tools/bestiary.html#neogi%20master_vgm","Neogi Master","Neogi","Aberrazione",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Feywild","","","","","","",""
"","Shadowfell","","","","","","",""
"","Astrale","","","","","","",""
"","Etereo","","","","","","",""
"","","","","","","Sociale","",""
"Limbo","Palude","Slaad","0.125","https://5e.tools/bestiary.html#slaad%20tadpole_mm","Slaad Tadpole","Slaad","Aberrazione",""
"","","","","","","Sociale","",""
"Limbo","Palude","Slaad","5.0","https://5e.tools/bestiary.html#red%20slaad_mm","Slaad Rosso","Rosso","Aberrazione",""
"","","","","","","Slaad","",""
"","","","","","","Sociale","",""
"Limbo","Palude","Slaad","7.0","https://5e.tools/bestiary.html#blue%20slaad_mm","Slaad Blu","Blu","Aberrazione",""
"","","","","","","Slaad","",""
"","","","","","","Sociale","",""
"Limbo","Palude","Slaad","8.0","https://5e.tools/bestiary.html#green%20slaad_mm","Slaad Verde","Verde","Aberrazione",""
"","","","","","","Slaad","",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"Limbo","Palude","Slaad","9.0","https://5e.tools/bestiary.html#gray%20slaad_mm","Slaad Grigio","Grigio","Aberrazione",""
"","","","","","","Slaad","",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"Limbo","Palude","Slaad","10.0","https://5e.tools/bestiary.html#death%20slaad_mm","Slaad della Morte","Slaad","Aberrazione",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"Far Realms","","Star Spawn","0.25","https://5e.tools/bestiary.html#star%20spawn%20grue_mpmm","Star Spawn Grue","Star Spawn","Aberrazione",""
"","","","","","","Servitore","",""
"","","","","","","Sconosciuto","",""
"Far Realms","","Star Spawn","5.0","https://5e.tools/bestiary.html#star%20spawn%20mangler_mtf","Star Spawn Mangler","Star Spawn","Aberrazione",""
"","","","","","","Sconosciuto","",""
"Far Realms","","Star Spawn","10.0","https://5e.tools/bestiary.html#star%20spawn%20hulk_mtf","Star Spawn Hulk","Star Spawn","Aberrazione",""
"","","","","","","Sconosciuto","",""
"Far Realms","","Star Spawn","13.0","https://5e.tools/bestiary.html#star%20spawn%20seer_mtf","Star Spawn Seer","Star Spawn","Aberrazione",""
"","","","","","","Boss","",""
"","","","","","","Sconosciuto","",""
"Far Realms","","Star Spawn","16.0","https://5e.tools/bestiary.html#star%20spawn%20larva%20mage_mtf","Star Spawn Larva ","Star Spawn","Aberrazione",""
"","","","","","","Boss","",""
"","","","","","","Sconosciuto","",""
"Underdark","Foresta","","0.125","https://5e.tools/bestiary.html#flumph_mm","Flumph","Non Violento","Aberrazione",""
"Dungeon","","","","","","","",""
"","Prateria","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","Giungla","","","","","","",""
"","","","","","","Interessante","",""
"Underdark","","","2.0","https://5e.tools/bestiary.html#gibbering%20mouther_mm","Fauce Gorgogliante","Endemico","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Underdark","","","2.0","https://5e.tools/bestiary.html#nothic_mm","Nothic","Endemico","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Space","","","3.0","https://5e.tools/bestiary.html#grell_mm","Grell","Endemico","Aberrazione",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Underdark","","","5.0","https://5e.tools/bestiary.html#otyugh_mm","Otyugh","Endemico","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Underdark","","","8.0","https://5e.tools/bestiary.html#cloaker_mm","Cloaker","Endemico","Aberrazione",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Foresta","","","1.0","https://5e.tools/bestiary.html#choker_mtf","Choker","Sconosciuto","Aberrazione",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"","","","","","","Solitario","",""
"Deserto","","","2.0","https://5e.tools/bestiary.html#berbalang_mtf","Berbalang","Sconosciuto","Aberrazione",""
"Cimitero","","","","","","","",""
"Astrale","","","","","","","",""
"","","","","","","Solitario","",""
"Montagna","","Drow","11.0","https://5e.tools/bestiary.html#balhannoth_mtf","Balhannoth","Drow","Aberrazione",""
"Coste","","","","","","","",""
"Shadowfell","","","","","","","",""
"Underdark","","","","","","","",""
"","","","","","","Servitore","",""
"","","","","","","Sconosciuto","",""
"Palude","Prateria","","0.25","https://5e.tools/bestiary.html#dimetrodon_vgm","Dimitrodonte","Dinosauro","Bestia",""
"Coste","","","","","","","",""
"A Dolce","","","","","","","",""
"","","","","","","Endemico","",""
"Prateria","","","0.25","https://5e.tools/bestiary.html#hadrosaurus_vgm","Hadrosaurus","Dinosauro","Bestia",""
"Palude","","","","","","","",""
"","","","","","","Endemico","",""
"Prateria","Palude","","0.25","https://5e.tools/bestiary.html#pteranodon_mm","Pterodattilo","Dinosauro","Bestia",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"A Dolce","","","","","","","",""
"","","","","","","Endemico","",""
"Foresta","","","0.5","https://5e.tools/bestiary.html#velociraptor_vgm","Velociraptor","Dinosauro","Bestia",""
"Prateria","","","","","","","",""
"","","","","","","Endemico","",""
"Foresta","","","1.0","https://5e.tools/bestiary.html#deinonychus_vgm","Deinonychus","Dinosauro","Bestia",""
"Prateria","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Endemico","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#allosaurus_mm","Allosauro","Dinosauro","Bestia",""
"Prateria","","","","","","","",""
"","","","","","","Endemico","",""
"Coste","","","2.0","https://5e.tools/bestiary.html#plesiosaurus_mm","Plesiosauro","Dinosauro","Bestia",""
"A Dolce","","","","","","","",""
"","","","","","","Endemico","",""
"Collina","","","2.0","https://5e.tools/bestiary.html#quetzalcoatlus_vgm","Quetzalcoatlus","Dinosauro","Bestia",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"A Dolce","","","","","","","",""
"","","","","","","Endemico","",""
"Prateria","","","3.0","https://5e.tools/bestiary.html#ankylosaurus_mm","Anchilosauro","Dinosauro","Bestia",""
"","","","","","","Endemico","",""
"Foresta","","","4.0","https://5e.tools/bestiary.html#stegosaurus_vgm","Stegosauro","Dinosauro","Bestia",""
"Prateria","","","","","","","",""
"","","","","","","Endemico","",""
"Foresta","","","5.0","https://5e.tools/bestiary.html#brontosaurus_vgm","Brontosauro","Dinosauro","Bestia",""
"Prateria","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Endemico","",""
"Prateria","Foresta","","5.0","https://5e.tools/bestiary.html#triceratops_mm","Triceratopo","Dinosauro","Bestia",""
"","Collina","","","","","","",""
"","","","","","","Endemico","",""
"Prateria","Foresta","","8.0","https://5e.tools/bestiary.html#tyrannosaurus%20rex_mm","Tirannosauro Rex","Dinosauro","Bestia",""
"","Collina","","","","","","",""
"","","","","","","Endemico","",""
"Space","","Mind Flayer","0.0","https://5e.tools/bestiary.html#cranium%20rat_vgm","Ratti Cranio","Mind Flayer","Bestia","<p>Vedi&nbsp;Sciame di Ratti Cranio</p>"
"Astrale","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Servitore","",""
"","","","","","","Ratto","",""
"Urbano","Deserto","","0.0","https://5e.tools/bestiary.html#cat_mm","Gatto","Innocuo","Bestia",""
"","Foresta","","","","","","",""
"","Prateria","","","","","","",""
"","Collina","","","","","","",""
"","","","","","","Gatto","",""
"Palude","Foresta","","0.0","https://5e.tools/bestiary.html#frog_mm","Rana","Innocuo","Bestia",""
"A Dolce","","","","","","","",""
"Giungla","","","","","","","",""
"","","","","","","Rana","",""
"Foresta","Deserto","","0.0","https://5e.tools/bestiary.html#eagle_mm","Aquila","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Savana","","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Aquila","",""
"Foresta","Savana","","0.0","https://5e.tools/bestiary.html#baboon_mm","Babbuino","Innocuo","Bestia",""
"Giungla","","","","","","","",""
"","","","","","","Scimmia","",""
"Foresta","","","0.0","https://5e.tools/bestiary.html#deer_mm","Cervo","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Cervo","",""
"Deserto","Coste","","0.0","https://5e.tools/bestiary.html#raven_mm","Corvi","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Savana","","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Corvo","",""
"Foresta","Giungla","","0.0","https://5e.tools/bestiary.html#weasel_mm","Donnola","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Savana","","","","","","","",""
"","","","","","","Donnola","",""
"Artico","Deserto","","0.0","https://5e.tools/bestiary.html#hawk_mm","Falco","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Falco","",""
"Artico","Prateria","","0.0","https://5e.tools/bestiary.html#owl_mm","Gufo","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Gufo","",""
"Foresta","Deserto","","0.0","https://5e.tools/bestiary.html#hyena_mm","Iena","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Savana","","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Iena","",""
"Deserto","","","0.0","https://5e.tools/bestiary.html#lizard_mm","Lucertola","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Giungla","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Rettile","",""
"Foresta","Deserto","","0.0","https://5e.tools/bestiary.html#bat_mm","Pipistrello","Innocuo","Bestia",""
"Palude","","","","","","","",""
"Giungla","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Prateria","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Pipistrello","",""
"Foresta","Deserto","","0.0","https://5e.tools/bestiary.html#spider_mm","Ragno","Ragno","Bestia",""
"Prateria","","","","","","","",""
"Palude","","","","","","","",""
"Giungla","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Innocuo","",""
"Foresta","","","0.0","","Riccio","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Riccio","",""
"Deserto","Collina","Fuoco","0.0","https://5e.tools/bestiary.html#giant%20fire%20beetle_mm","Scarabeo di Fuoco Gigante","Gigante","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Palude","","","","","","","",""
"Giungla","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Fuoco","",""
"","","","","","","Innocuo","",""
"","","","","","","Scarabeo","",""
"Deserto","Montagna","","0.0","https://5e.tools/bestiary.html#jackal_mm","Sciacallo","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Savana","","","","","","","",""
"","","","","","","Sciacallo","",""
"Deserto","Collina","","0.0","https://5e.tools/bestiary.html#scorpion_mm","Scorpione","Innocuo","Bestia",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Palude","","","","","","","",""
"Giungla","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Scorpione","",""
"Foresta","Prateria","","0.0","https://5e.tools/bestiary.html#badger_mm","Tasso","Innocuo","Bestia",""
"Montagna","","","","","","","",""
"A Dolce","","","","","","","",""
"","Collina","","","","","","",""
"","","","","","","Tasso","",""
"Foresta","","","0.0","","Volpe","Innocuo","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Volpe","",""
"Deserto","Prateria","","0.0","https://5e.tools/bestiary.html#vulture_mm","Avvoltoio","Innocuo","Bestia",""
"Savana","","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","Palude","","","","","","",""
"","","","","","","Avvoltoio","",""
"Prateria","","","0.0","https://5e.tools/bestiary.html#goat_mm","Capra","Innocuo","Bestia",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Urbano","","","","","","","",""
"","","","","","","Bestiame","",""
"","","","","","","Capra","",""
"Coste","","","0.0","https://5e.tools/bestiary.html#sea%20horse_mm","Cavalluccio Marino","Innocuo","Bestia",""
"Acquatico","","","","","","","",""
"","","","","","","Cavalluccio","",""
"Coste","","","0.0","https://5e.tools/bestiary.html#crab_mm","Granchio","Innocuo","Bestia",""
"A Dolce","","","","","","","",""
"","","","","","","Granchio","",""
"Palude","","","0.0","https://5e.tools/bestiary.html#quipper_mm","Piragna","Innocuo","Bestia",""
"A Dolce","","","","","","","",""
"Giungla","","","","","","","",""
"","","","","","","Piragna","",""
"Coste","","","0.0","https://5e.tools/bestiary.html#octopus_mm","Polipo","Innocuo","Bestia",""
"Acquatico","","","","","","","",""
"","","","","","","Polipo","",""
"Urbano","Foresta","","0.125","https://5e.tools/bestiary.html#mastiff_mm","Mastino","Cane","Bestia",""
"","Prateria","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","","","","","","Innocuo","",""
"Prateria","Foresta","","0.125","https://5e.tools/bestiary.html#giant%20rat_mm","Ratto Gigante","Gigante","Bestia",""
"Palude","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","Collina","","","","","","",""
"","Montagna","","","","","","",""
"","Giungla","","","","","","",""
"","","","","","","Innocuo","",""
"","","","","","","Ratto","",""
"Foresta","Giungla","","0.125","https://5e.tools/bestiary.html#giant%20weasel_mm","Donnola Gigante","Gigante","Bestia",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Savana","","","","","","","",""
"","","","","","","Innocuo","",""
"","","","","","","Donnola","",""
