Skip,Cool,Tipo,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Creature,Link,CR,Dungeon,Foresta,Coste,Aquatico,Deserto,Prateria,Colline,Montagne,Palude,Artico,A Dolce,Giungla,Savana,Cimitero,Far Realms ,Space,Astrale,Etereo,Vulcano,Limbo,Feywild,Shadowfell,Bene,Male,Inferno,Abisso,Carceri,Distese Grige ,Gehenna,Acqua,Aria,Fuoco,Terra,Underdark,Urban,Mechanus
,,Aberrazione,,Mind Flayer,,,,Sociale,,Mind Flayer Arcanist,https://5e.tools/bestiary.html#mind%20flayer%20arcanist_mm,8,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Mind Flayer Psion,https://5e.tools/bestiary.html#mind%20flayer%20psion_vgm,8,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Ulitharid,https://5e.tools/bestiary.html#ulitharid_vgm,9,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Neothelid,https://5e.tools/bestiary.html#neothelid_vgm,13,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Cervello Antico,https://5e.tools/bestiary.html#elder%20brain_vgm,14,alta,,,,,,,,,,,,,,,alta,,,,,,,,,,,,,,,,,,alta,,
,,Aberrazione,,Mind Flayer,,,,Sociale,,Elder Brain,https://5e.tools/bestiary.html#elder%20brain_vgm,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aberrazione,Neogi,,,,,Sociale,,Neogi Hatchling,https://5e.tools/bestiary.html#neogi%20hatchling_vgm,"0,125",alta,,,,,,bassa,,,,,,,,,alta,bassa,bassa,,,bassa,bassa,,,,,,,,,,,,alta,,
,,Aberrazione,Neogi,,,,,Sociale,,Neogi,https://5e.tools/bestiary.html#neogi_vgm,3,alta,,,,,,bassa,,,,,,,,,alta,bassa,bassa,,,bassa,bassa,,,,,,,,,,,,alta,,
,,Aberrazione,Neogi,,,,,Sociale,,Neogi Master,https://5e.tools/bestiary.html#neogi%20master_vgm,4,alta,,,,,,bassa,,,,,,,,,alta,bassa,bassa,,,bassa,bassa,,,,,,,,,,,,alta,,
,,Aberrazione,Slaad,,,,,,,Slaad Tadpole,https://5e.tools/bestiary.html#slaad%20tadpole_mm,"0,125",,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
,,Aberrazione,Slaad,Rosso,,,,,,Slaad Rosso,https://5e.tools/bestiary.html#red%20slaad_mm,5,,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
,,Aberrazione,Slaad,Blu,,,,,,Slaad Blu,https://5e.tools/bestiary.html#blue%20slaad_mm,7,,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
,,Aberrazione,Slaad,Verde,Mutaforma,,,,,Slaad Verde,https://5e.tools/bestiary.html#green%20slaad_mm,8,,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
,,Aberrazione,Slaad,Grigio,Mutaforma,,,,,Slaad Grigio,https://5e.tools/bestiary.html#gray%20slaad_mm,9,,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
,,Aberrazione,Slaad,,Mutaforma,,,,,Slaad della Morte,https://5e.tools/bestiary.html#death%20slaad_mm,10,,,,,,,,,bassa,,,,,,,,,,,alta,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,Star Spawn,,,,,,,Star Spawn Grue,https://5e.tools/bestiary.html#star%20spawn%20grue_mpmm,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,Star Spawn,,,,,,,Star Spawn Mangler,https://5e.tools/bestiary.html#star%20spawn%20mangler_mtf,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,Star Spawn,,,,,,,Star Spawn Hulk,https://5e.tools/bestiary.html#star%20spawn%20hulk_mtf,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,Star Spawn,,,,,,,Star Spawn Seer,https://5e.tools/bestiary.html#star%20spawn%20seer_mtf,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,Star Spawn,,,,,,,Star Spawn Larva ,https://5e.tools/bestiary.html#star%20spawn%20larva%20mage_mtf,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,Aberrazione,,,,,,,Non Violento,Flumph,https://5e.tools/bestiary.html#flumph_mm,"0,125",alta,bassa,,,,bassa,bassa,bassa,,,,bassa,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,,,,,Endemico,Fauce Gorgogliante,https://5e.tools/bestiary.html#gibbering%20mouther_mm,2,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,,,,,Endemico,Nothic,https://5e.tools/bestiary.html#nothic_mm,2,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,,,,,Endemico,Grell,https://5e.tools/bestiary.html#grell_mm,3,alta,,,,,,,,,,,,,,alta,alta,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,,,,,Endemico,Otyugh,https://5e.tools/bestiary.html#otyugh_mm,5,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
,TRUE,Aberrazione,,,,,,,Endemico,Cloaker,https://5e.tools/bestiary.html#cloaker_mm,8,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,,
TRUE,,Aberrazione,,,,,,,,Choker,https://5e.tools/bestiary.html#choker_mtf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,,,,,,,,Berbalang,https://5e.tools/bestiary.html#berbalang_mtf,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,Aberrazione,,,,,,,,Balhannoth,https://5e.tools/bestiary.html#balhannoth_mtf,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Dimitrodonte,https://5e.tools/bestiary.html#dimetrodon_vgm,"0,25",,,alta,,,bassa,,,alta,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Hadrosaurus,https://5e.tools/bestiary.html#hadrosaurus_vgm,"0,25",,,,,,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Pterodattilo,https://5e.tools/bestiary.html#pteranodon_mm,"0,25",,,alta,,,alta,alta,alta,bassa,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Velociraptor,https://5e.tools/bestiary.html#velociraptor_vgm,"0,5",,alta,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Deinonychus,https://5e.tools/bestiary.html#deinonychus_vgm,1,,alta,,,,alta,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Allosauro,https://5e.tools/bestiary.html#allosaurus_mm,2,,alta,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Plesiosauro,https://5e.tools/bestiary.html#plesiosaurus_mm,2,,,alta,alta,,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Quetzalcoatlus,https://5e.tools/bestiary.html#quetzalcoatlus_vgm,2,,,alta,,,,alta,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Anchilosauro,https://5e.tools/bestiary.html#ankylosaurus_mm,3,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Stegosauro,https://5e.tools/bestiary.html#stegosaurus_vgm,4,,alta,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Brontosauro,https://5e.tools/bestiary.html#brontosaurus_vgm,5,,alta,,,,alta,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Triceratopo,https://5e.tools/bestiary.html#triceratops_mm,5,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Dinosauro,,,Endemico,Tirannosauro Rex,https://5e.tools/bestiary.html#tyrannosaurus%20rex_mm,8,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,Mind Flayer,,,Aberrazione,,,Ratti Cranio,https://5e.tools/bestiary.html#cranium%20rat_vgm,0,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Innocuo,Gatto,https://5e.tools/bestiary.html#cat_mm,0,,bassa,,,bassa,bassa,bassa,bassa,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Rana,https://5e.tools/bestiary.html#frog_mm,0,,bassa,,,,,,,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Aquila,https://5e.tools/bestiary.html#eagle_mm,0,,alta,bassa,,bassa,alta,alta,alta,,,bassa,,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Babbuino,https://5e.tools/bestiary.html#baboon_mm,0,,alta,,,,,,,,,,alta,bassa,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Cervo,https://5e.tools/bestiary.html#deer_mm,0,,alta,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Corvi,https://5e.tools/bestiary.html#raven_mm,0,,alta,bassa,,alta,alta,alta,alta,alta,,bassa,,alta,,,,,,,,,,,,,,,,,,,,,,bassa,
,,Bestia,,,,,,,Innocuo,Donnola,https://5e.tools/bestiary.html#weasel_mm,0,,alta,,,,alta,alta,alta,,,,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Falco,https://5e.tools/bestiary.html#hawk_mm,0,,alta,bassa,,bassa,alta,alta,alta,,alta,bassa,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Gufo,https://5e.tools/bestiary.html#owl_mm,0,,alta,,,,bassa,alta,alta,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Iena,https://5e.tools/bestiary.html#hyena_mm,0,,alta,,,bassa,alta,,bassa,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Lucertola,https://5e.tools/bestiary.html#lizard_mm,0,alta,alta,alta,,alta,alta,alta,alta,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Pipistrello,https://5e.tools/bestiary.html#bat_mm,0,alta,alta,,,bassa,bassa,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
,,Bestia,,Ragno,,,,,Innocuo,Ragno,https://5e.tools/bestiary.html#spider_mm,0,alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
,,Bestia,,,,,,,Innocuo,Riccio,,0,,alta,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Scarabeo di Fuoco Gigante,https://5e.tools/bestiary.html#giant%20fire%20beetle_mm,0,alta,alta,,,alta,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Innocuo,Sciacallo,https://5e.tools/bestiary.html#jackal_mm,0,,alta,,,alta,alta,,bassa,,,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Scorpione,https://5e.tools/bestiary.html#scorpion_mm,0,alta,alta,,,alta,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Innocuo,Tasso,https://5e.tools/bestiary.html#badger_mm,0,,alta,,,,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Volpe,,0,,alta,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Avvoltoio,https://5e.tools/bestiary.html#vulture_mm,0,,,,,alta,bassa,bassa,bassa,bassa,,,,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Capra,https://5e.tools/bestiary.html#goat_mm,0,,,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Cavalluccio Marino,https://5e.tools/bestiary.html#sea%20horse_mm,0,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Granchio,https://5e.tools/bestiary.html#crab_mm,0,,,alta,,,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Piragna,https://5e.tools/bestiary.html#quipper_mm,0,,,,alta,,,,,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Polipo,https://5e.tools/bestiary.html#octopus_mm,0,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Mastino,https://5e.tools/bestiary.html#mastiff_mm,"0,125",,bassa,,,,bassa,bassa,bassa,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Ratto Gigante,https://5e.tools/bestiary.html#giant%20rat_mm,"0,125",alta,bassa,,,,alta,bassa,bassa,alta,,,bassa,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Innocuo,Donnola Gigante,https://5e.tools/bestiary.html#giant%20weasel_mm,"0,125",,alta,,,,alta,alta,alta,,,,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Falco di Sangue,https://5e.tools/bestiary.html#blood%20hawk_mm,"0,125",,alta,bassa,,bassa,alta,alta,alta,,alta,bassa,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Serpente Velenoso,https://5e.tools/bestiary.html#poisonous%20snake_mm,"0,125",alta,alta,,,alta,alta,bassa,bassa,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Serpente Velenoso ,https://5e.tools/bestiary.html#poisonous%20snake_mm,"0,13",alta,alta,,,alta,alta,bassa,bassa,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Serpente Volante,https://5e.tools/bestiary.html#flying%20snake_mm,"0,125",,alta,,,alta,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Uccello Stigeo,https://5e.tools/bestiary.html#stirge_mm,"0,125",alta,alta,bassa,,alta,alta,alta,alta,alta,,bassa,,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
,,Bestia,,,,,,,Innocuo,Cammello,https://5e.tools/bestiary.html#camel_mm,"0,125",,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bassa,
,,Bestia,,,,,,,Innocuo,Delfino,https://5e.tools/bestiary.html#dolphin_vgm,"0,125",,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Granchio Gigante,https://5e.tools/bestiary.html#giant%20crab_mm,"0,125",,,alta,,,,,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Mulo,https://5e.tools/bestiary.html#mule_mm,"0,125",,,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Pony,https://5e.tools/bestiary.html#pony_mm,"0,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,Cavallo,,,Innocuo,Cavallo Selvaggio,,"0,25",,bassa,,,,alta,bassa,bassa,,,,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Sciame di Ratti,https://5e.tools/bestiary.html#swarm%20of%20rats_mm,"0,25",alta,bassa,,,,alta,bassa,bassa,alta,,,bassa,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Innocuo,Rana Gigante,https://5e.tools/bestiary.html#giant%20frog_mm,"0,25",,bassa,,,,,,,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Alce,https://5e.tools/bestiary.html#elk_mm,"0,25",,alta,,,,alta,alta,alta,,bassa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Beccoaguzzo,https://5e.tools/bestiary.html#axe%20beak_mm,"0,25",,alta,bassa,,bassa,alta,alta,alta,,,bassa,,alta,,,,,,,,,,,,,,,,,,,,,,bassa,
,,Bestia,,,,,,,Innocuo,Centopiedi Gigante,https://5e.tools/bestiary.html#giant%20centipede_mm,"0,25",alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Cinghiale,https://5e.tools/bestiary.html#boar_mm,"0,25",,alta,,,,alta,alta,alta,,,,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Gufo Gigante,https://5e.tools/bestiary.html#giant%20owl_mm,"0,25",,alta,,,,bassa,alta,alta,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Lucertola Gigante,https://5e.tools/bestiary.html#giant%20lizard_mm,"0,25",alta,alta,alta,,alta,alta,alta,alta,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Lupo,https://5e.tools/bestiary.html#wolf_mm,"0,25",,alta,,,,bassa,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Pantera,https://5e.tools/bestiary.html#panther_mm,"0,25",,alta,,,,bassa,,bassa,,,,alta,bassa,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Pipistrello Gigante,https://5e.tools/bestiary.html#giant%20bat_mm,"0,25",alta,alta,,,bassa,bassa,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
,,Bestia,,Ragno,,,,,Innocuo,Ragno Lupo Gigante,https://5e.tools/bestiary.html#giant%20wolf%20spider_mm,"0,25",alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Sciame di Corvi,https://5e.tools/bestiary.html#swarm%20of%20ravens_mm,"0,25",,alta,bassa,,alta,alta,alta,alta,alta,,bassa,,alta,,,,,,,,,,,,,,,,,,,,,,bassa,
,,Bestia,,,,,,,Innocuo,Sciame di Pipistrelli,https://5e.tools/bestiary.html#swarm%20of%20bats_mm,"0,25",alta,alta,,,bassa,bassa,bassa,bassa,alta,,,bassa,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
,,Bestia,,,,,,,Innocuo,Serpente Stritolatore,https://5e.tools/bestiary.html#constrictor%20snake_mm,"0,25",alta,alta,,,alta,alta,bassa,bassa,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Serpente Velenoso Gigante,https://5e.tools/bestiary.html#giant%20poisonous%20snake_mm,"0,25",alta,alta,,,alta,alta,bassa,bassa,alta,,alta,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Innocuo,Tasso Gigante,https://5e.tools/bestiary.html#giant%20badger_mm,"0,25",,alta,,,,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,Cavallo,,,Innocuo,Cavallo da Galoppo,https://5e.tools/bestiary.html#riding%20horse_mm,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,Cavallo,,,Innocuo,Cavallo da Tiro,https://5e.tools/bestiary.html#draft%20horse_mm,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Deep Rothe,https://5e.tools/bestiary.html#deep%20roth%c3%a9_mpmm,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Mucca,https://5e.tools/bestiary.html#cow_vgm,"0,25",,,,,,alta,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Ox,https://5e.tools/bestiary.html#ox_mpmm,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Gorilla,https://5e.tools/bestiary.html#ape_mm,"0,5",,alta,,,,,,,,,,alta,bassa,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Orso Nero,https://5e.tools/bestiary.html#black%20bear_mm,"0,5",,alta,,,,,alta,alta,,,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Sciame di Insetti,https://5e.tools/bestiary.html#swarm%20of%20insects_mm,"0,5",alta,alta,,,alta,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Endemico,Sciame di Vespe,https://5e.tools/bestiary.html#swarm%20of%20wasps_mm,"0,5",alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,alta,
,,Bestia,,,,,,,Endemico,Vespa Gigante,https://5e.tools/bestiary.html#giant%20wasp_mm,"0,5",alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,,
,,Bestia,,,,,,,Endemico,Coccodrillo,https://5e.tools/bestiary.html#crocodile_mm,"0,5",,,,,,,,,alta,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Squalo Tropicale,https://5e.tools/bestiary.html#reef%20shark_mm,"0,5",,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Capra Gigante,https://5e.tools/bestiary.html#giant%20goat_mm,"0,5",,,,,,alta,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,Cavallo,,,Innocuo,Cavallo da Guerra,https://5e.tools/bestiary.html#warhorse_mm,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alta,
,,Bestia,,,,,,,Innocuo,Cavalluccio Marino Gigante,https://5e.tools/bestiary.html#giant%20sea%20horse_mm,"0,5",,,,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Innocuo,Swarm of Rot Grubs,https://5e.tools/bestiary.html#swarm%20of%20rot%20grubs_mpmm,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Leone,https://5e.tools/bestiary.html#lion_mm,1,,bassa,,,bassa,alta,,bassa,,,,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Iena Gigante,Giant%20Hyena,1,,alta,,,bassa,alta,,bassa,,,,bassa,alta,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Lupo Feroce,https://5e.tools/bestiary.html#dire%20wolf_mm,1,,alta,,,,bassa,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,,,,,,Endemico,Orso Bruno,https://5e.tools/bestiary.html#brown%20bear_mm,1,,alta,,,,,alta,alta,,,alta,alta,,,,,,,,,,,,,,,,,,,,,,,,
,,Bestia,,Ragno,,,,,Endemico,Ragno Gigante,https://5e.tools/bestiary.html#giant%20spider_mm,1,alta,alta,,,bassa,alta,bassa,bassa,alta,,,alta,,,,,,,,,,,,,,,,,,,,,,alta,bassa,
